"table_name","column_name"
"_peerdb_raw_mirror_cbb9ed3d__b625__46e6__95bf__a5c74b193e8b","_peerdb_uid"
"_peerdb_raw_mirror_cbb9ed3d__b625__46e6__95bf__a5c74b193e8b","_peerdb_timestamp"
"_peerdb_raw_mirror_cbb9ed3d__b625__46e6__95bf__a5c74b193e8b","_peerdb_destination_table_name"
"_peerdb_raw_mirror_cbb9ed3d__b625__46e6__95bf__a5c74b193e8b","_peerdb_data"
"_peerdb_raw_mirror_cbb9ed3d__b625__46e6__95bf__a5c74b193e8b","_peerdb_record_type"
"_peerdb_raw_mirror_cbb9ed3d__b625__46e6__95bf__a5c74b193e8b","_peerdb_match_data"
"_peerdb_raw_mirror_cbb9ed3d__b625__46e6__95bf__a5c74b193e8b","_peerdb_batch_id"
"_peerdb_raw_mirror_cbb9ed3d__b625__46e6__95bf__a5c74b193e8b","_peerdb_unchanged_toast_columns"
"morpho_blue_etl_meta_morpho__steakhouse__usdc_accrue_interest","rindexer_id"
"morpho_blue_etl_meta_morpho__steakhouse__usdc_accrue_interest","contract_address"
"morpho_blue_etl_meta_morpho__steakhouse__usdc_accrue_interest","new_total_assets"
"morpho_blue_etl_meta_morpho__steakhouse__usdc_accrue_interest","fee_shares"
"morpho_blue_etl_meta_morpho__steakhouse__usdc_accrue_interest","tx_hash"
"morpho_blue_etl_meta_morpho__steakhouse__usdc_accrue_interest","block_number"
"morpho_blue_etl_meta_morpho__steakhouse__usdc_accrue_interest","block_hash"
"morpho_blue_etl_meta_morpho__steakhouse__usdc_accrue_interest","network"
"morpho_blue_etl_meta_morpho__steakhouse__usdc_accrue_interest","tx_index"
"morpho_blue_etl_meta_morpho__steakhouse__usdc_accrue_interest","log_index"
"morpho_blue_etl_meta_morpho__steakhouse__usdc_accrue_interest","_peerdb_synced_at"
"morpho_blue_etl_meta_morpho__steakhouse__usdc_accrue_interest","_peerdb_is_deleted"
"morpho_blue_etl_meta_morpho__steakhouse__usdc_accrue_interest","_peerdb_version"
"morpho_blue_etl_meta_morpho__steakhouse__usdc_deposit","rindexer_id"
"morpho_blue_etl_meta_morpho__steakhouse__usdc_deposit","contract_address"
"morpho_blue_etl_meta_morpho__steakhouse__usdc_deposit","sender"
"morpho_blue_etl_meta_morpho__steakhouse__usdc_deposit","owner"
"morpho_blue_etl_meta_morpho__steakhouse__usdc_deposit","assets"
"morpho_blue_etl_meta_morpho__steakhouse__usdc_deposit","shares"
"morpho_blue_etl_meta_morpho__steakhouse__usdc_deposit","tx_hash"
"morpho_blue_etl_meta_morpho__steakhouse__usdc_deposit","block_number"
"morpho_blue_etl_meta_morpho__steakhouse__usdc_deposit","block_hash"
"morpho_blue_etl_meta_morpho__steakhouse__usdc_deposit","network"
"morpho_blue_etl_meta_morpho__steakhouse__usdc_deposit","tx_index"
"morpho_blue_etl_meta_morpho__steakhouse__usdc_deposit","log_index"
"morpho_blue_etl_meta_morpho__steakhouse__usdc_deposit","_peerdb_synced_at"
"morpho_blue_etl_meta_morpho__steakhouse__usdc_deposit","_peerdb_is_deleted"
"morpho_blue_etl_meta_morpho__steakhouse__usdc_deposit","_peerdb_version"
"morpho_blue_etl_meta_morpho__steakhouse__usdc_reallocate_supply","rindexer_id"
"morpho_blue_etl_meta_morpho__steakhouse__usdc_reallocate_supply","contract_address"
"morpho_blue_etl_meta_morpho__steakhouse__usdc_reallocate_supply","caller"
"morpho_blue_etl_meta_morpho__steakhouse__usdc_reallocate_supply","id"
"morpho_blue_etl_meta_morpho__steakhouse__usdc_reallocate_supply","supplied_assets"
"morpho_blue_etl_meta_morpho__steakhouse__usdc_reallocate_supply","supplied_shares"
"morpho_blue_etl_meta_morpho__steakhouse__usdc_reallocate_supply","tx_hash"
